GIS_ST_NAME,GIS_ST_ABBR,GIS_PC_NAME,ST_CODE,PC_CODE,PC_ID,DISTRICT,GIS_Dist_code,AREA_GEO,Tot_area,Pct_Area,POP,Tot_pop,Pct_pop
Jammu & Kashmir,JK, , ,-1, _-1,Data Not Available,0,80294.85631,85817.81332,0.935643233,121191.6145,620964.0486,0.195166878
Jammu & Kashmir,JK,Baramula,S09,1,S09_1,Data Not Available,0,1753.254343,85817.81332,0.020429958,341824.6561,620964.0486,0.550474149
Jammu & Kashmir,JK,Leh (Ladakh),S09,4,S09_4,Data Not Available,0,3061.83263,85817.81332,0.035678288,1069.978893,620964.0486,0.001723093
Jammu & Kashmir,JK,Jammu,S09,6,S09_6,Data Not Available,0,706.5343671,85817.81332,0.008232957,157253.4643,620964.0486,0.253240851
Jammu & Kashmir,JK, , ,-1, _-1,Kupwara,1,154.1500416,2008.077619,0.076764982,20833.68002,662911.9017,0.031427524
Jammu & Kashmir,JK,Baramula,S09,1,S09_1,Kupwara,1,1853.927576,2008.077619,0.923235018,642216.2465,662911.9017,0.968780685
Jammu & Kashmir,JK,Srinagar,S09,2,S09_2,Badgam,2,1037.695368,1284.425031,0.807906528,382453.2174,461159.5058,0.829329576
Jammu & Kashmir,JK,Anantnag,S09,3,S09_3,Badgam,2,173.4735388,1284.425031,0.135059295,76145.41228,461159.5058,0.1651173
Jammu & Kashmir,JK,Jammu,S09,6,S09_6,Badgam,2,73.25612349,1284.425031,0.057034176,962.6385326,461159.5058,0.002087431
Jammu & Kashmir,JK, , ,-1, _-1,Leh (ladakh),3,34006.31417,80255.01898,0.423728193,12616.20921,164016.0205,0.076920591
Jammu & Kashmir,JK,Leh (Ladakh),S09,4,S09_4,Leh (ladakh),3,46248.68334,80255.01898,0.576271539,151441.4943,164016.0205,0.923333549
Jammu & Kashmir,JK, , ,-1, _-1,Kargil,4,3.047131941,14887.06664,0.000204683,21.71034333,220319.9427,9.85401E-05
Jammu & Kashmir,JK,Leh (Ladakh),S09,4,S09_4,Kargil,4,14830.71033,14887.06664,0.996214412,220803.6807,220803.6807,1
Jammu & Kashmir,JK,Udhampur,S09,5,S09_5,Kargil,4,52.45668095,14887.06664,0.003523641,0,220319.9427,0
Jammu & Kashmir,JK, , ,-1, _-1,Punch,5,916.2155101,2396.907132,0.382249065,52852.63958,341030.1399,0.15497938
Jammu & Kashmir,JK,Baramula,S09,1,S09_1,Punch,5,22.52027465,2396.907132,0.009395556,900.2601548,341030.1399,0.002639826
Jammu & Kashmir,JK,Anantnag,S09,3,S09_3,Punch,5,0.471452682,2396.907132,0.000196692,0,341030.1399,0
Jammu & Kashmir,JK,Jammu,S09,6,S09_6,Punch,5,1457.699894,2396.907132,0.608158687,287373.186,341030.1399,0.842662136
Jammu & Kashmir,JK, , ,-1, _-1,Rajouri,6,74.61724496,1928.812688,0.038685584,6199.683233,425316.7266,0.014576627
Jammu & Kashmir,JK,Udhampur,S09,5,S09_5,Rajouri,6,11.60746442,1928.812688,0.006017932,2516.264736,425316.7266,0.005916214
Jammu & Kashmir,JK,Jammu,S09,6,S09_6,Rajouri,6,1842.587979,1928.812688,0.955296484,416825.7572,425316.7266,0.980036126
Jammu & Kashmir,JK,Udhampur,S09,5,S09_5,Kathua,7,2356.365647,2356.366864,0.999999484,690293.4741,690293.4741,1
Jammu & Kashmir,JK, , ,-1, _-1,Baramula,8,22.22115485,1772.941531,0.012533496,597.4827876,879689.0891,0.000679198
Jammu & Kashmir,JK,Baramula,S09,1,S09_1,Baramula,8,1426.839911,1772.941531,0.804786783,653064.8418,879689.0891,0.742381428
Jammu & Kashmir,JK,Srinagar,S09,2,S09_2,Baramula,8,287.5990332,1772.941531,0.162215746,224723.5794,879689.0891,0.255457959
Jammu & Kashmir,JK,Jammu,S09,6,S09_6,Baramula,8,36.28143208,1772.941531,0.020463976,1456.599223,879689.0891,0.001655811
Jammu & Kashmir,JK, , ,-1, _-1,Bandipore,9,47.71041625,2297.326786,0.020767797,,332799.0723,
Jammu & Kashmir,JK,Baramula,S09,1,S09_1,Bandipore,9,2107.091403,2297.326786,0.91719272,305235.9894,332799.0723,0.917178006
Jammu & Kashmir,JK,Srinagar,S09,2,S09_2,Bandipore,9,46.55302999,2297.326786,0.020264,12022.7792,332799.0723,0.03612624
Jammu & Kashmir,JK,Leh (Ladakh),S09,4,S09_4,Bandipore,9,95.97193714,2297.326786,0.041775483,16271.33434,332799.0723,0.048892367
Jammu & Kashmir,JK,Baramula,S09,1,S09_1,Srinagar,10,9.850803667,1066.253063,0.009238711,2558.467059,990263.1194,0.002583623
Jammu & Kashmir,JK,Srinagar,S09,2,S09_2,Srinagar,10,928.9541267,1066.253063,0.871232317,933164.2447,990263.1194,0.942339694
Jammu & Kashmir,JK,Anantnag,S09,3,S09_3,Srinagar,10,127.4481326,1066.253063,0.119528972,54833.50518,990263.1194,0.055372662
Jammu & Kashmir,JK,Baramula,S09,1,S09_1,Ganderbal,11,26.22996079,1069.581699,0.024523569,193.4067304,760148.4801,0.000254433
Jammu & Kashmir,JK,Srinagar,S09,2,S09_2,Ganderbal,11,815.4031449,1069.581699,0.762357047,620670.2162,760148.4801,0.816511816
Jammu & Kashmir,JK,Anantnag,S09,3,S09_3,Ganderbal,11,137.183225,1069.581699,0.128258762,112975.1899,760148.4801,0.148622529
Jammu & Kashmir,JK,Leh (Ladakh),S09,4,S09_4,Ganderbal,11,90.76536669,1069.581699,0.084860621,27286.37613,760148.4801,0.035896114
Jammu & Kashmir,JK,Anantnag,S09,3,S09_3,Pulwama,12,613.0387343,613.0387326,1.000000003,431863.0977,431863.0977,1
Jammu & Kashmir,JK,Srinagar,S09,2,S09_2,Shupiyan,13,0.646762802,544.4345474,0.001187953,0,327289.9978,0
Jammu & Kashmir,JK,Anantnag,S09,3,S09_3,Shupiyan,13,543.7877835,544.4345474,0.998812045,326945.7105,327289.9978,0.998948066
Jammu & Kashmir,JK,Anantnag,S09,3,S09_3,Anantnag,14,2605.619466,3143.883039,0.828790204,1323143.288,1429604.14,0.925531237
Jammu & Kashmir,JK,Leh (Ladakh),S09,4,S09_4,Anantnag,14,19.12663414,3143.883039,0.006083761,22.11730003,1429604.14,1.54709E-05
Jammu & Kashmir,JK,Udhampur,S09,5,S09_5,Anantnag,14,519.1369387,3143.883039,0.165126034,106413.9614,1429604.14,0.074435963
Jammu & Kashmir,JK,Srinagar,S09,2,S09_2,Kulgam,15,0.171939998,1328.67828,0.000129407,0,390769.4707,0
Jammu & Kashmir,JK,Anantnag,S09,3,S09_3,Kulgam,15,1111.936634,1328.67828,0.836874246,372980.5865,390769.4707,0.954477293
Jammu & Kashmir,JK,Udhampur,S09,5,S09_5,Kulgam,15,163.1721868,1328.67828,0.122807898,14722.67975,390769.4707,0.037676126
Jammu & Kashmir,JK,Jammu,S09,6,S09_6,Kulgam,15,53.39751942,1328.67828,0.040188449,1945.20302,390769.4707,0.004977879
Jammu & Kashmir,JK,Udhampur,S09,5,S09_5,Doda,16,2079.030775,2079.030791,0.999999992,292871.897,292974.8119,0.999648724
Jammu & Kashmir,JK,Anantnag,S09,3,S09_3,Ramban,17,41.3567726,1111.825328,0.037197185,7234.139228,187190.8485,0.038645795
