district,state,area
Adilabad,Telangana,16107207073
Agra,Uttar Pradesh,4047034516
Ahmadabad,Gujarat,7894579618
Ahmadnagar,Maharashtra,17103305136
Aizawl,Mizoram,3483421664
Ajmer,Rajasthan,8493841467
Akola,Maharashtra,5430145154
Alappuzha,Kerala,1406310245
Aligarh,Uttar Pradesh,3712158803
Alirajpur,Madhya Pradesh,3336434976
Allahabad,Uttar Pradesh,5474740461
Almora,Uttarakhand,3146038382
Alwar,Rajasthan,8400071186
Ambala,Haryana,1505687985
Ambedkar Nagar,Uttar Pradesh,2328700167
Amravati,Maharashtra,12214984628
Amreli,Gujarat,7410899749
Amritsar,Punjab,2681036101
Anand,Gujarat,2826105689
Anantapur,Andhra Pradesh,19132283491
Anantnag,Jammu & Kashmir,2702601176
Anjaw,Arunachal Pradesh,7162578576
Anugul,Odisha,6382773770
Anuppur,Madhya Pradesh,3768902061
Araria,Bihar,2778850973
Ariyalur,Tamil Nadu,1939387222
Arwal,Bihar,519508587.5
Ashoknagar,Madhya Pradesh,4737196713
Auraiya,Uttar Pradesh,2018790429
Aurangabad,Bihar,3306654728
Aurangabad,Maharashtra,10169597307
Azamgarh,Uttar Pradesh,4215703547
Badgam,Jammu & Kashmir,1172860094
Bagalkot,Karnataka,6554187023
Bageshwar,Uttarakhand,2235740658
Baghpat,Uttar Pradesh,1323277630
Bahraich,Uttar Pradesh,4907674763
Baksa,Assam,2452801496
Balaghat,Madhya Pradesh,9246678960
Balangir,Odisha,6535038203
Baleshwar,Odisha,3723749474
Ballia,Uttar Pradesh,2992815165
Balrampur,Uttar Pradesh,3291518276
Banaskantha,Gujarat,10736553179
Banda,Uttar Pradesh,4388778988
Bandipore,Jammu & Kashmir,2617803028
Bangalore Rural,Karnataka,2298661157
Bangalore,Karnataka,2196596507
Banka,Bihar,3031541453
Bankura,West Bengal,6890730506
Banswara,Rajasthan,4481621047
Bara Banki,Uttar Pradesh,3846322711
Baramula,Jammu & Kashmir,2226555626
Baran,Rajasthan,6990760134
Barddhaman,West Bengal,7013835894
Bareilly,Uttar Pradesh,4122516693
Bargarh,Odisha,5845454678
Barmer,Rajasthan,28369675561
Barnala,Punjab,1424980911
Barpeta,Assam,2269601829
Barwani,Madhya Pradesh,5430343306
Bastar,Chhattisgarh,10314549521
Basti,Uttar Pradesh,2786012496
Bathinda,Punjab,3327042872
Baudh,Odisha,3104487986
Begusarai,Bihar,1934657329
Belgaum,Karnataka,13437008638
Bellary,Karnataka,8464341572
Betul,Madhya Pradesh,10060037746
Bhadrak,Odisha,2439182932
Bhagalpur,Bihar,2555843045
Bhandara,Maharashtra,4024634819
Bharatpur,Rajasthan,5063613279
Bharuch,Gujarat,5075874039
Bhavnagar,Gujarat,8283455001
Bhilwara,Rajasthan,10484445302
Bhind,Madhya Pradesh,4466458393
Bhiwani,Haryana,4693106441
Bhojpur,Bihar,2425584009
Bhopal,Madhya Pradesh,2767909744
Bidar,Karnataka,5442945684
Bid,Maharashtra,10605531450
Bijapur,Chhattisgarh,9146109386
Bijapur,Karnataka,10497204653
Bijnor,Uttar Pradesh,4603947037
Bikaner,Rajasthan,30260308786
Bilaspur,Chhattisgarh,8318312641
Bilaspur,Himanchal Pradesh,1166050659
Birbhum,West Bengal,4545047112
Bishnupur,Manipur,480388684.9
Bokaro,Jharkhand,2886782038
Bongaigaon,Assam,1085065298
Budaun,Uttar Pradesh,5160657640
Bulandshahr,Uttar Pradesh,3522347804
Buldana,Maharashtra,9740225122
Bundi,Rajasthan,5753935094
Burhanpur,Madhya Pradesh,3231943976
Buxar,Bihar,1665735444
Cachar,Assam,3785916976
Central,Delhi,20527075.29
Chamarajanagar,Karnataka,5648438853
Chamba,Himanchal Pradesh,6444805020
Chamoli,Uttarakhand,7405293790
Champawat,Uttarakhand,1732458941
Champhai,Mizoram,3283076025
Chandauli,Uttar Pradesh,2550326285
Chandel,Manipur,3071057999
Chandigarh,Chandigarh,114627811.5
Chandrapur,Maharashtra,11357370019
Changlang,Arunachal Pradesh,4901802365
Chatra,Jharkhand,3723503952
Chennai,Tamil Nadu,162500658.6
Chhatarpur,Madhya Pradesh,8744058393
Chhindwara,Madhya Pradesh,11817464773
Chikkaballapura,Karnataka,4243828796
Chikmagalur,Karnataka,7204350678
Chirang,Assam,1930722915
Chitradurga,Karnataka,8438019611
Chitrakoot,Uttar Pradesh,3257593888
Chittaurgarh,Rajasthan,7798713974
Chittoor,Andhra Pradesh,15006952390
Churachandpur,Manipur,4558117311
Churu,Rajasthan,13881148605
Cuddalore,Tamil Nadu,3721612108
Coimbatore,Tamil Nadu,4788523868
Cuttack,Odisha,3857615811
Dadra & Nagar Haveli,Dadra and Nagar Haveli,493249261.6
Dakshin Bastar Dantewada,Chhattisgarh,8557450597
Dakshin Dinajpur,West Bengal,2227051587
Dakshina Kannada,Karnataka,4863951409
Daman,Daman and Diu,57523405.26
Damoh,Madhya Pradesh,7304081150
Darbhanga,Bihar,2509724255
Darjiling,West Bengal,3114809112
Darrang,Assam,1583708063
Datia,Madhya Pradesh,2640025789
Dausa,Rajasthan,3418099658
Davanagere,Karnataka,5924741829
Debagarh,Odisha,2942764593
Dehradun,Uttarakhand,3100305231
Deoghar,Jharkhand,2484257347
Deoria,Uttar Pradesh,2536677995
Dewas,Madhya Pradesh,7013675824
Dhalai,Tripura,2219636866
Dhamtari,Chhattisgarh,4087479670
Dhanbad,Jharkhand,2041738248
Dhar,Madhya Pradesh,8158816400
